code,ticker,name
3788,3788.T,GMO GlobalSign Holdings K.K.
3817,3817.T,"SRA Holdings, Inc."
3834,3834.T,"Asahi Net, Inc."
3835,3835.T,"eBASE Co.,Ltd."
3836,3836.T,Avant Group Corporation
3837,3837.T,Ad-Sol Nissin Corporation
3843,3843.T,"FreeBit Co., Ltd."
3844,3844.T,Comture Corporation
3853,3853.T,Asteria Corporation
3854,3854.T,I'LL inc.
3861,3861.T,Oji Holdings Corporation
3863,3863.T,"Nippon Paper Industries Co., Ltd."
3864,3864.T,Mitsubishi Paper Mills Limited
3865,3865.T,Hokuetsu Corporation
3877,3877.T,"Chuetsu Pulp & Paper Co., Ltd."
3880,3880.T,Daio Paper Corporation
3901,3901.T,"MarkLines Co., Ltd."
3902,3902.T,"Medical Data Vision Co., Ltd."
3903,3903.T,gumi Inc.
3915,3915.T,"TerraSky Co.,Ltd."
3916,3916.T,Digital Information Technologies Corporation
3921,3921.T,NEOJAPAN Inc.
3922,3922.T,PR TIMES Corporation
3923,3923.T,"Rakus Co., Ltd."
3924,3924.T,"R&D Computer Co.,Ltd."
3925,3925.T,Double Standard Inc.
3926,3926.T,OpenDoor Inc.
3932,3932.T,Akatsuki Inc.
3937,3937.T,"Ubicom Holdings, Inc."
3939,3939.T,"Kanamic Network Co.,LTD"
3941,3941.T,"Rengo Co., Ltd."
3946,3946.T,"Tomoku Co., Ltd."
3950,3950.T,The Pack Corporation
3962,3962.T,"CHANGE Holdings,Inc."
3963,3963.T,"Synchro Food Co., Ltd."
3964,3964.T,Aucnet Inc.
3968,3968.T,"Segue Group Co., Ltd."
3983,3983.T,"oRo Co., Ltd."
3984,3984.T,"User Local, Inc."
3992,3992.T,Needs Well Inc.
3993,3993.T,PKSHA Technology Inc.
3994,3994.T,"Money Forward, Inc."
4004,4004.T,Resonac Holdings Corporation
4005,4005.T,"Sumitomo Chemical Company, Limited"
4008,4008.T,"Sumitomo Seika Chemicals Company, Limited."
4021,4021.T,Nissan Chemical Corporation
4022,4022.T,"Rasa Industries, Ltd."
4023,4023.T,Kureha Corporation
4025,4025.T,"Taki Chemical Co., Ltd."
4027,4027.T,Tayca Corporation
4028,4028.T,"Ishihara Sangyo Kaisha,Ltd."
4041,4041.T,"Nippon Soda Co., Ltd."
4042,4042.T,Tosoh Corporation
4043,4043.T,Tokuyama Corporation
4044,4044.T,"Central Glass Co., Ltd."
4045,4045.T,"Toagosei Co., Ltd."
4046,4046.T,"Osaka Soda Co., Ltd."
4047,4047.T,"Kanto Denka Kogyo Co., Ltd."
4051,4051.T,"GMO Financial Gate, Inc."
4053,4053.T,Sun* Inc.
4061,4061.T,Denka Company Limited
4062,4062.T,"Ibiden Co.,Ltd."
4063,4063.T,"Shin-Etsu Chemical Co., Ltd."
